Day_of_week,Age_band_of_driver,Sex_of_driver,Type_of_vehicle,Area_accident_oc cured,Lanes_or_Medians,Types_of_Junction,Road_surface_conditions,Light_conditions,Weather_conditions,Number_of_vehicles_involved,Number_of_casualties,Sex_of_casualty,Cause_of_accident,Accident_severity
Monday,18-30,Male,E-Bike,Residential areas,Concrete barriers,No junction,Dry,Daylight,Normal,2,2,Female,Moving Backward,Slight Injury
Monday,31-50,Male,Public,Office areas,Grass medians,No junction,Dry,Daylight,Normal,2,2,Female,Overtaking,Slight Injury
Monday,18-30,Male,Lorry,Industrial areas,Speed breaker,No junction,Dry,Daylight,Snow,2,2,Male,Overtaking,Serious Injury
Sunday,18-30,Male,Public,Office areas,Speed breaker,Y Shape,Dry,Night,Snow,2,2,Female,Overloading,Slight Injury
Sunday,18-30,Male,Cycle,Industrial areas,Speed breaker,Y Shape,Dry,Night,Snow,2,2,Female,Overtaking,Fatal injury
Friday,31-50,Male,Cycle,Highways,Concrete barriers,Y Shape,Snow,Daylight,Snow,1,1,Male,Overloading,Fatal injury
Wednesday,18-30,Male,E-Bike,Residential areas,Grass medians,Crossing,Snow,Daylight,Snow,1,1,Female,Overspeed,Fatal injury
Friday,18-30,Male,E-Bike,Residential areas,Speed breaker,Y Shape,Snow,Daylight,Snow,2,1,Female,Overspeed,Fatal injury
Friday,18-30,Male,Lorry,Industrial areas,Speed breaker,Y Shape,Snow,Daylight,Snow,2,1,Male,Overloading,Slight Injury
Friday,18-30,Male,E-Bike,Residential areas,Grass medians,Y Shape,Snow,Daylight,Snow,2,1,Male,Moving Backward,Serious Injury
Saturday,18-30,Male,Public,Residential areas,Speed breaker,No junction,Snow,Daylight,Snow,2,1,Female,Overtaking,Serious Injury
Saturday,31-50,Male,E-Bike,Office areas,Grass medians,No junction,Snow,Daylight,Snow,3,1,Male,Overspeed,Serious Injury
Thursday,18-30,Male,Public,Office areas,Double carriageway ,No junction,Snow,Daylight,Snow,3,2,Female,No distancing,Slight Injury
Thursday,31-50,Male,Lorry,Office areas,Speed breaker,No junction,Snow,Daylight,Normal,3,2,Female,Overspeed,Slight Injury
Thursday,31-50,Male,E-Bike,Office areas,Grass medians,No junction,Dry,Daylight,Normal,3,2,Female,No distancing,Serious Injury
Monday,18-30,Female,Train,Office areas,One way,Y Shape,Moist,Night,Raining,3,3,Female,No distancing,Serious Injury
Monday,18-30,Male,Public,Office areas,Grass medians,Y Shape,Moist,Night,Raining,3,3,Female,Moving Backward,Slight Injury
